n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
1,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,764,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.353303390716, -30.9086991919802)"
2,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.37,0.37,748,14.3,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2795152226324, -30.8735538717619)"
3,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.36,0.36,762,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3766961060422, -30.853689592792)"
4,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,762,14.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3693817475393, -30.8482905423533)"
5,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.37,0.37,757,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2927074195747, -30.8680691145142)"
6,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.42,0.42,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3403032408935, -30.8937853688428)"
7,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.39,0.39,769,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3242281746654, -30.898056280555)"
8,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,770,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3870958624463, -30.858368569979)"
9,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,757,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3402775590443, -30.8797425581188)"
10,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.38,0.38,763,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3109639320232, -30.8919184102543)"
