n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
5,TSTABTL010,TSTABTL,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3891331420176, -30.9175825124116)"
1,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8828700950792)"
2,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8828700950792)"
3,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8828700950792)"
4,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8828700950792)"
5,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3696631502657, -30.8820930296107)"
6,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8820930296107)"
7,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8820930296107)"
8,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8820930296107)"
9,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8820930296107)"
10,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3735484776077, -30.8820930296107)"
11,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3696631502657, -30.8813159641423)"
12,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8813159641423)"
13,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8813159641423)"
14,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8813159641423)"
15,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8813159641423)"
16,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3735484776077, -30.8813159641423)"
17,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8805388986739)"
18,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8805388986739)"
19,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8805388986739)"
20,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8805388986739)"
21,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8797618332055)"
22,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.36,0.36,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8797618332055)"
1,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8697224355161)"
2,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.52,0.52,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8697224355161)"
3,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8697224355161)"
4,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8697224355161)"
6,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3368944165445, -30.8689454107323)"
7,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8689454107323)"
8,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.51,0.51,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8689454107323)"
9,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8689454107323)"
12,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8681683859485)"
13,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.52,0.52,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8681683859485)"
14,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8681683859485)"
16,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3376714413284, -30.8673913611646)"
17,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3384484661122, -30.8673913611646)"
18,TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3392254908961, -30.8673913611646)"
1,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3502566655227, -30.8794932610071)"
2,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3510337228999, -30.8794932610071)"
3,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3494796081455, -30.8787162036299)"
4,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3502566655227, -30.8787162036299)"
5,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3510337228999, -30.8787162036299)"
6,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3518107802771, -30.8787162036299)"
7,TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3487025507683, -30.8779391462527)"
