n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
1,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,764,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.353303390716, -30.9086991919802)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.28199999999998,756.3140154383873,840.3489060426525,186.28199999999998,0,84.03489060426526,0,20091.504798213347,84.03489060426526,0.011740880805782648,183.79394944958872,650.5243097792749,650.5243097792749,88.16548850058406,NA,NA,NA,11.014357236981997,NA,NA
2,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.37,0.37,748,14.3,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2795152226324, -30.8735538717619)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,191.1404,713.4034671678205,792.6705190753561,191.1404,0,79.26705190753562,0,20091.504798213347,79.26705190753562,0.012863681374833272,194.89938607916972,591.9180412997449,591.9180412997449,88.63937007553089,NA,NA,NA,11.483319624265375,NA,NA
3,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.36,0.36,762,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3766961060422, -30.853689592792)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.4876,738.9986439575054,821.1096043972282,189.4876,0,82.11096043972282,0,20091.504798213347,82.11096043972282,0.012015979703902648,186.95673428309706,628.6588138151232,628.6588138151232,86.58409608382989,NA,NA,NA,11.078403629860542,NA,NA
4,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,762,14.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3693817475393, -30.8482905423533)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,191.34599999999998,728.223328716897,809.1370319076633,191.34599999999998,0,80.91370319076634,0,20091.504798213347,80.91370319076634,0.01219377676715031,188.79031281273015,615.1259221327771,615.1259221327771,85.66730681901333,NA,NA,NA,11.115533595085612,NA,NA
5,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.37,0.37,757,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.2927074195747, -30.8680691145142)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.20459999999997,709.1012770978897,787.8903078865441,193.20459999999997,0,78.789030788654415,0,20091.504798213347,78.789030788654415,0.012941726647153267,197.00418084126403,585.4133606067696,585.4133606067696,87.58697269448373,NA,NA,NA,11.525941718197785,NA,NA
6,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.42,0.42,767,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3403032408935, -30.8937853688428)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,192.9074,723.5137072390697,803.9041191545219,192.9074,0,80.3904119154522,0,20091.504798213347,80.3904119154522,0.012273150623352078,190.33085818303212,608.6067429246706,608.6067429246706,84.89703413386236,NA,NA,NA,11.146729638834227,NA,NA
7,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.39,0.39,769,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3242281746654, -30.898056280555)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,194.38539999999998,714.4495593632488,793.8328437369431,194.38539999999998,0,79.38328437369432,0,20091.504798213347,79.38328437369432,0.012844846459877648,198.2082025712713,590.4429613463466,590.4429613463466,86.98496182948008,NA,NA,NA,11.550323158230432,NA,NA
8,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,770,14.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3870958624463, -30.858368569979)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,193.1264,725.6264866389198,806.2516518210219,193.1264,0,80.6251651821022,0,20091.504798213347,80.6251651821022,0.01223741535143776,190.54693313890257,610.7982018664242,610.7982018664242,84.78899665592712,NA,NA,NA,11.151105156690601,NA,NA
9,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,757,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3402775590443, -30.8797425581188)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.61099999999996,737.9020987784263,819.8912208649181,188.61099999999996,0,81.98912208649182,0,20091.504798213347,81.98912208649182,0.012033835818742324,186.09184247343472,628.1100243648498,628.1100243648498,87.01654198866105,NA,NA,NA,11.06088957071488,NA,NA
10,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.38,0.38,763,13.9,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3109639320232, -30.8919184102543)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.64259999999996,713.0918980196242,792.3243311329157,193.64259999999996,0,79.23243311329158,0,20091.504798213347,79.23243311329158,0.012869301865347548,197.45079459274027,589.5328876277238,589.5328876277238,87.36366581874559,NA,NA,NA,11.534985646665177,NA,NA
