n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
5,TSTABTL010,TSTABTL,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3891331420176, -30.9175825124116)",0.254642860254362,1623.303693593391,780.8209126524879,536.1521519659225,1755.001000055232,0.3,475,365,1,0.38741674894814543,186.86599999999999,762.1211080510022,846.8012311677802,186.86599999999999,0,84.68012311677802,0,20091.504798213347,84.680123116778,0.009191986482666848,145.45248557117438,697.647461415323,697.647461415323,69.32784204921062,1203.186459502309,390.0381550510557,128.14254399468962,8.698603268625591,7542.5617013310075,75.42561701331007
1,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8828700950792)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9209044443204,825.4676716048004,189.12199999999996,0,82.54676716048004,0,20091.504798213347,82.54676716048004,0.011952541184241876,186.5960173704658,633.3380629769465,633.3380629769465,86.76445454014552,1138.8770610639324,375.18365265103137,118.45467752016502,11.071099112379757,7134.623373201962,71.34623373201961
2,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8828700950792)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8789156968951,825.4210174409945,189.12199999999996,0,82.54210174409945,0,20091.504798213347,82.54210174409945,0.011953216761677541,186.5960173704658,633.2910192902319,633.2910192902319,86.76445454014552,1138.8300173772177,375.18936003544866,118.45084274626144,11.071099112379757,7134.10696139688,71.3410696139688
3,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8828700950792)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9628931917456,825.5143257686062,189.12199999999996,0,82.55143257686063,0,20091.504798213347,82.55143257686063,0.011951865683167091,186.5960173704658,633.3851065751475,633.3851065751475,86.76445454014552,1138.9241046621332,375.17794588256515,118.45851238217438,11.071099112379757,7135.139834049967,71.35139834049967
4,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8828700950792)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.6269832123435,825.1410924581594,189.12199999999996,0,82.51410924581594,0,20091.504798213347,82.51410924581593,0.011957271830595355,186.5960173704658,633.0087553097052,633.0087553097052,86.76445454014552,1138.547753396691,375.22361728229686,118.42783595376092,11.071099112379757,7131.009520153872,71.31009520153872
5,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3696631502657, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0048819391709,825.5609799324121,189.12199999999996,0,82.55609799324122,0,20091.504798213347,82.55609799324122,0.011951190258440242,186.5960173704658,633.4321500848613,633.4321500848613,86.76445454014552,1138.971148171847,375.1722397299543,118.4623473322771,11.071099112379757,7135.656343946507,71.35656343946508
6,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9628931917456,825.5143257686062,189.12199999999996,0,82.55143257686063,0,20091.504798213347,82.55143257686063,0.011951865683167091,186.5960173704658,633.3851065751475,633.3851065751475,86.76445454014552,1138.9241046621332,375.17794588256515,118.45851238217438,11.071099112379757,7135.139834049967,71.35139834049967
7,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8789156968951,825.4210174409945,189.12199999999996,0,82.54210174409945,0,20091.504798213347,82.54210174409945,0.011953216761677541,186.5960173704658,633.2910192902319,633.2910192902319,86.76445454014552,1138.8300173772177,375.18936003544866,118.45084274626144,11.071099112379757,7134.10696139688,71.3410696139688
8,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0048819391709,825.5609799324121,189.12199999999996,0,82.55609799324122,0,20091.504798213347,82.55609799324122,0.011951190258440242,186.5960173704658,633.4321500848613,633.4321500848613,86.76445454014552,1138.971148171847,375.1722397299543,118.4623473322771,11.071099112379757,7135.656343946507,71.35656343946508
9,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0048819391709,825.5609799324121,189.12199999999996,0,82.55609799324122,0,20091.504798213347,82.55609799324122,0.011951190258440242,186.5960173704658,633.4321500848613,633.4321500848613,86.76445454014552,1138.971148171847,375.1722397299543,118.4623473322771,11.071099112379757,7135.656343946507,71.35656343946508
